product_id,name,price,original_price,discount,brand,category,availability,description,,,,,,,,,,
25804,Juhayna Full Cream Milk - 1Kg,44.99  LE,52.75 LE,14.7%,Juhayna,Juhayna,in stock,Juhayna Full Cream Milk - 1Kg,,,,,,,,,,
11760,Crystal Glass Cleaner Spray700+Refil S.O,66.95  LE,79.95 LE,16.3%,Crystal,Crystal,in stock,Crystal Glass Cleaner Spray700+Refil S.O,,,,,,,,,,
20039,Camay Soap Bar - 165g*4Pc,94.95  LE,104.95 LE,9.5%,Camay,Camay,in stock,Camay Soap Bar - 165g*4Pc,,,,,,,,,,
20090,Lux Soap Bar Creamy Perfection - 165*4Pc,99.95  LE,114.95 LE,13%,Lux,Lux,in stock,Lux Soap Bar Creamy Perfection - 165*4Pc,,,,,,,,,,
43172,Lifebuoy Soap Bar 75g*4Pc,54.95  LE,62.95 LE,12.7%,LIFEBUOY,LIFEBUOY,in stock,Lifebuoy Soap Bar 75g*4Pc,,,,,,,,,,
30097,Fairy Adw Plat-Plus Yellow - 20ct,239.95  LE,289.95 LE,17.2%,Fairy,Fairy,in stock,Fairy Adw Plat-Plus Yellow - 20ct,,,,,,,,,,
23,Imported Banana - 1Kg,109.99  LE,124.99 LE,12%,weighted /Pcs.,weighted /Pcs.,in stock,"Imported Banana is one of the world&#039;s most appealing fruits. A wide variety of health benefits are associated with bananas, as they are a rich source of potassium and pectin. Bananas are also a good source of magnesium, vitamin C and vitamin B6. It also is high in tryptophan that can help you sleep better and regulate mood.",,,,,,,,,,
147,Orange Balady Network- 2Kg,34.99  LE,54.99 LE,36.4%,weighted /Pcs.,weighted /Pcs.,in stock,Orange Balady Network- 2Kg,,,,,,,,,,
673,Iceberg Lettuce 1Pc,19.99  LE,24.99 LE,20%,Prepacked,Prepacked,in stock,Iceberg Lettuce 1Pc,,,,,,,,,,
1876,SeaStar Smoked Herring Fish Fillets-250g,124.99  LE,154.99 LE,19.4%,sea star,sea star,in stock,"Enjoy cooking a variety of fish delicacies with the Sea Star Smoked Herring Fish Fillets. The smoked herring is a fillet made with premium-quality and freshly caught herring fish that is then cured with hot or cold smoke. With an Omega 3 and protein-rich herring fish, the fillets have a high nutritional value. This ready-to-use pieces can be used to prepare various delicious recipes. Also, it can be simply fried and served to your family and guests.",,,,,,,,,,
2058,Sea Star Mackerel Fillets - 250g,159.99  LE,199.99 LE,20%,Seastar,Seastar,in stock,"Enjoy cooking a variety of fish delicacies with the Sea Star Mackerel Fillets. The fillets are made with premium-quality and freshly caught mackerel fish. With an Omega 3 and protein-rich mackerel fish, the fillets have a high nutritional value. This ready-to-use fillets pieces can be used to prepare various delicious recipes. Also, the fillets can be simply fried and served to your family and guests.",,,,,,,,,,
2060,SeaStar Smo.Herring Fish Fillets - 500g,219.99  LE,274.99 LE,20%,sea star,sea star,in stock,"Enjoy cooking a variety of fish delicacies with the Sea Star Smoked Herring Fish Fillets. The smoked herring is a fillet made with premium-quality and freshly caught herring fish that is then cured with hot or cold smoke. With an Omega 3 and protein-rich herring fish, the fillets have a high nutritional value. This ready-to-use pieces can be used to prepare various delicious recipes. Also, it can be simply fried and served to your family and guests.",,,,,,,,,,
2061,SeaStar Smoked Herring Fish Fillets 380g,157.99  LE,194.99 LE,19%,sea star,sea star,in stock,"Enjoy cooking a variety of fish delicacies with the Sea Star Smoked Herring Fish Fillets. The smoked herring is a fillet made with premium-quality and freshly caught herring fish that is then cured with hot or cold smoke. With an Omega 3 and protein-rich herring fish, the fillets have a high nutritional value. This ready-to-use pieces can be used to prepare various delicious recipes. Also, it can be simply fried and served to your family and guests.",,,,,,,,,,
2111,Labanita Natural Yougurt -105g 6Pc,39.99  LE,50.99 LE,21.6%,Labanita,Labanita,in stock,Labanita Natural Yougurt -105g 6Pc,,,,,,,,,,
